level_0,index,DATE,temp_c
0,0,1901-01-01,11.620752984389346
1,1,1902-01-01,11.643709825528008
2,2,1903-01-01,11.19047619047619
3,3,1904-01-01,11.902587519025875
4,4,1905-01-01,10.707910126192674
5,5,1906-01-01,10.902969084787268
6,6,1907-01-01,11.622405372405373
7,7,1908-01-01,10.810185185185185
8,8,1909-01-01,9.41095890410959
9,9,1910-01-01,9.437037037037038
10,10,1911-01-01,12.098765432098764
11,11,1912-01-01,12.331821617535903
12,12,1913-01-01,9.112633181126332
13,13,1914-01-01,12.573820395738204
14,14,1915-01-01,11.245421245421246
15,15,1916-01-01,12.400304414003045
16,16,1917-01-01,12.444444444444446
17,17,1918-01-01,13.23744292237443
18,18,1919-01-01,13.244047619047619
19,19,1920-01-01,11.432584269662922
20,20,1921-01-01,13.157330884603612
21,21,1922-01-01,12.40024554941682
22,22,1923-01-01,10.512937595129376
23,23,1924-01-01,12.647237401335762
24,24,1925-01-01,13.654485049833887
25,25,1926-01-01,12.800925925925926
26,26,1927-01-01,13.772893772893772
27,27,1928-01-01,12.570411637264003
28,28,1929-01-01,12.433425160697887
29,29,1930-01-01,13.588919498010405
30,30,1931-01-01,14.424548515457607
31,31,1932-01-01,13.441400304414003
32,32,1933-01-01,15.438356164383562
33,33,1934-01-01,15.747863247863249
34,34,1935-01-01,12.876543209876543
35,35,1936-01-01,10.941890166028097
36,36,1937-01-01,20.77777777777778
37,37,1941-01-01,6.362942612942613
38,38,1942-01-01,6.868827160493828
39,39,1943-01-01,6.771689497716895
40,40,1944-01-01,5.831050228310502
41,41,1945-01-01,6.406489133761862
42,42,1946-01-01,7.976412166356301
43,43,1947-01-01,9.870424360220278
44,44,1948-01-01,12.070566388115134
45,45,1949-01-01,13.678637200736649
46,46,1950-01-01,7.579551382368283
47,47,1951-01-01,11.768925518925519
48,48,1952-01-01,13.24225865209472
49,49,1953-01-01,13.258706467661693
50,50,1954-01-01,15.047575199508902
51,51,1955-01-01,13.223443223443223
52,52,1956-01-01,14.20461445051609
53,53,1957-01-01,12.38812785388128
54,54,1958-01-01,13.342465753424657
55,55,1959-01-01,11.785388127853881
56,56,1960-01-01,13.105646630236794
57,57,1961-01-01,12.015220700152208
58,58,1962-01-01,13.184170471841705
59,59,1963-01-01,13.471841704718418
60,60,1964-01-01,12.943230115361263
61,61,1965-01-01,12.768620268620268
62,62,1966-01-01,13.729071537290716
63,63,1967-01-01,12.297214569941842
64,64,1968-01-01,13.121765601217655
65,65,1969-01-01,13.244810744810746
66,66,1970-01-01,13.160866910866911
67,67,1971-01-01,13.342465753424657
68,68,1972-01-01,13.375834851244688
69,69,1973-01-01,13.657534246575343
70,70,1974-01-01,14.80517503805175
71,71,1975-01-01,13.928462709284627
72,72,1976-01-01,13.951123254401944
73,73,1977-01-01,15.115677321156774
74,74,1978-01-01,14.48948948948949
75,75,1979-01-01,9.174897119341564
76,76,1980-01-01,14.127200971463267
77,77,1981-01-01,13.9514652014652
78,78,1982-01-01,13.571905238571905
79,79,1983-01-01,11.84430512016719
80,80,1984-01-01,10.333940497874924
81,81,1985-01-01,11.308094798399507
82,82,1986-01-01,13.120243531202435
83,83,1987-01-01,12.336377473363774
84,84,1988-01-01,12.583485124468732
85,85,1989-01-01,13.000524109014677
86,86,1990-01-01,15.25750202757502
87,87,1991-01-01,12.499234771962046
88,88,1992-01-01,12.531202435312023
89,89,1993-01-01,10.460745176314038
90,90,1994-01-01,3.730994152046784
91,91,1995-01-01,12.662676488643339
92,92,1996-01-01,12.907509157509157
93,93,1997-01-01,12.374847374847375
94,94,1998-01-01,13.295281582952814
95,95,1999-01-01,13.377473363774733
96,96,2000-01-01,13.733211233211232
97,97,2001-01-01,13.58751902587519
98,98,2002-01-01,13.687975646879757
99,99,2003-01-01,14.016742770167427
100,100,2004-01-01,13.011536126290226
101,101,2005-01-01,13.817351598173515
102,102,2006-01-01,14.318112633181126
103,103,2007-01-01,13.675799086757992
104,104,2008-01-01,13.430745814307459
105,105,2009-01-01,12.340319361277446
106,106,2010-01-01,13.252663622526637
107,107,2011-01-01,13.31959706959707
108,108,2012-01-01,15.476407914764078
109,109,2013-01-01,13.030441400304415
110,110,2014-01-01,12.981735159817351
111,111,2015-01-01,13.728191000918272
112,112,2016-01-01,14.353369763205828
113,113,2017-01-01,15.627293960627293
114,114,2018-01-01,13.89193302891933
115,115,2019-01-01,12.459442913988367
116,116,2020-01-01,14.273033363942455
117,117,2021-01-01,14.188034188034187
118,118,2022-01-01,13.41095890410959
119,119,2023-01-01,14.997964997964997
